ax;a y;az;gx;gy;gz;Label
0.033001;0.12621;-0.081618;0.04287556;-0.1167;0.00506766;0
0.107848;0.15207;0.367525;-0.0574665;-0.0981;-0.05605314;0
0.013359;-0.1199;-0.093025;0.02847728;-0.0565;0.13597688;0
0.026718;-0.0056;0.119804;-0.0240838;-0.076;-0.18974384;0
0.034465;-0.0006;-0.111325;0.01944202;-0.035;0.13966264;0
0.079849;-0.0271;0.089792;0.01456052;0.02215;-0.0701948;0
-0.074359;0.01403;0.198616;-0.0335647;-0.1874;-0.00871416;0
-0.022509;-0.057;-0.188856;0.03679858;-0.1806;0.0632736;0
0.038247;-0.0667;-0.01952;-0.03584542;-0.1364;-0.14896102;0
0.023058;-0.0036;0.073322;0.06852898;-0.0541;0.40234532;0
0.012993;-0.174;-0.23363;-0.03070392;-0.2705;-0.44137262;0
-0.04514;0.02647;0.013847;-0.09866194;-0.1876;-0.07731542;0
0.012993;0.10724;0.208498;0.12144548;0.24917;0.38344774;0
-0.046665;0.07662;0.048861;-0.06951542;-0.0864;-0.45023576;0
0.087596;0.04185;0.119072;0.02549118;0.02837;0.22981452;0
-0.084058;0.04569;-0.121817;0.01738204;0.13018;-0.02713776;0
0.083997;-0.0329;-0.037149;-0.1338571;-0.3075;0.35523618;0
0.05551;-0.0657;0.005124;-0.0447395;-0.1442;-0.10194184;0
-0.008601;0.02373;0.17568;-0.05077878;0.00351;-0.3773393;0
-0.026413;-0.0577;-0.400038;0.170053;-0.0329;0.49680332;0
0.132675;-0.116;-0.952942;-0.00734916;0.02236;-0.34398364;0
-0.290787;0.00397;0.868823;-0.02798926;0.09011;0.22516572;0
-0.108946;0.03989;0.087169;0.05571696;0.05427;-0.0401726;0
0.014884;0.15476;-0.134383;-0.06499662;-0.089;-0.13484224;0
0.048556;-0.0335;0.067893;0.0678613;-0.0472;0.17835298;0
-0.079117;-0.0045;0.309819;-0.0488852;0.05332;-0.21622406;0
-0.017385;-0.0685;-0.160369;-0.04521036;0.04366;0.13344526;0
0.063684;-0.0118;0.390644;0.00287508;-0.0003;-0.050167;0
0.210389;0.07216;-0.204777;0.0215748;-0.0162;0.22266868;0
-0.039467;-0.0874;-0.287371;-0.03597516;-0.0294;-0.36534056;0
-0.008113;-0.0697;0.194163;-0.06874946;-0.0371;0.03779412;0
-0.085827;0.05612;0.008662;0.12876864;-0.0156;0.45279598;0
0.050081;-0.0454;-0.02867;0.00765258;0.00057;-0.4709406;0
-0.044713;0,633333333;-0.026047;-0.05757492;-0.0125;0.31604534;0
