ax,ay,az,gx,gy,gz,label
0.39662200,0.41931000,1.21304600,0.15494180,-0.03250000,-0.10077990,1
-0.06886900,-0.19070000,-0.18446400,0.03687372,0.02741000,0.17874922,1
-0.01592100,0.01043000,-0.55327000,-0.23411622,0.03306000,0.13851032,1
-0.30939200,0.38046000,1.19804000,-0.15691208,-0.03520000,0.08824010,1
-0.02592500,0.02342000,-0.58035400,-0.17551950,-0.05510000,-0.00469846,1
-0.02921900,-0.00200000,-0.71101600,-0.13071032,0.01195000,0.14962558,1
-0.02708400,-0.04580000,-0.68466400,0.15728050,0.06455000,0.01089062,1
-0.06771000,0.00537000,0.21722100,0.16039010,-0.01460000,-0.15519686,1
-0.01775100,0.01208000,-0.68204100,0.15753634,-0.03300000,-0.19295302,1
0.29042100,0.25266000,0.06691700,0.13775424,0.03695000,-0.03025542,1
0.19959200,0.24961000,0.13218700,-0.10638134,-0.00300000,0.15384824,1
-0.16482200,-0.05630000,0.05538800,-0.18883800,-0.00750000,0.01750632,1
0.06350100,-0.10160000,-0.46317300,-0.16962114,-0.05920000,0.01396044,1
0.11956000,0.07631000,0.47872800,-0.00429494,0.01029000,0.13313898,1
-0.00158600,0.05783000,0.62018700,0.19189638,0.08911000,-0.15145598,1
0.05654700,0.03361000,0.18788000,0.14338584,-0.06310000,-0.16829488,1
0.01274900,0.06314000,0.34495500,-0.01739140,-0.03140000,0.16501550,1
0.02055700,-0.09949100,-0.32671600,-0.00028730,0.00169312,0.00028314,1
-0.06929600,-0.01043100,0.00475800,0.00001300,0.00066742,0.00005850,1
-0.02629100,0.03745400,0.01457900,0.00021710,0.00353626,-0.00013858,1
0.12017000,0.07838500,0.14640000,-0.00050726,0.00228566,0.00037804,1
-0.04141900,0.03592900,-0.16567600,0.00044148,0.00004420,-0.00020722,1
0.04062600,0.08015400,0.16152800,-0.00017862,0.00317226,0.00023114,1
-0.01549400,0.02860900,0.01549400,0.00002028,-0.00603100,0.00014196,1
-0.10101600,-0.19776200,-0.57486400,0.00057434,-0.00218090,-0.00028496,1
-0.22191800,-0.08045900,-0.46299000,-0.00041990,0.03395054,0.00036192,1
0.08056641,0.01635742,0.97290040,-2.74045800,-1.74809200,-0.19847330,0
0.08032227,0.02343750,0.96069340,-2.80916000,-1.50381700,-0.33587790,0
0.07373047,0.02270508,0.96020510,-2.82442700,-1.60305300,-0.35114500,0
0.08276367,0.01977539,0.95605470,-2.92366400,-1.66412200,-0.45801530,0
0.08569336,0.01562500,0.96264650,-2.82442700,-1.45038200,-0.38167940,0
0.07543945,0.01831055,0.95898440,-2.79389300,-1.68702300,-0.19847330,0
0.08471680,0.01977539,0.96191410,-2.79389300,-1.64122100,-0.41984730,0
0.08227539,0.01733398,0.96264650,-2.79389300,-1.47328200,-0.24427480,0
0.08374023,0.02490234,0.95947270,-3.04580200,-1.45801500,-0.27480910,0
0.07885742,0.02221680,0.96069340,-2.93129800,-1.24427500,-0.31297710,0
0.08227539,0.02075195,0.95507810,-2.90076300,-1.45038200,-0.32061070,0
0.08325195,0.01782227,0.96752930,-2.99236600,-1.51145000,-0.25954200,0
0.07690430,0.02124023,0.95874020,-2.84732800,-1.70229000,-0.41984730,0
0.07983398,0.01782227,0.95434570,-2.73282400,-1.54961800,-0.29007640,0
0.07568359,0.01342773,0.96484380,-2.83206100,-1.54961800,-0.25954200,0
0.07958984,0.02465820,0.96801760,-2.89313000,-1.45038200,-0.48854960,0
0.08837891,0.01806641,0.95947270,-2.93129800,-1.67938900,-0.35114500,0
0.08911133,0.01806641,0.96191410,-2.87786300,-1.57251900,-0.06870229,0
0.08618164,0.02319336,0.95605470,-2.82442700,-1.53435100,-0.35877860,0
0.07934570,0.01757813,0.96166990,-2.93129800,-1.62595400,-0.25954200,0
0.07617188,0.02514648,0.95288090,-2.97709900,-1.59542000,-0.35114500,0
0.08178711,0.02001953,0.96923830,-2.90076300,-1.65648900,-0.44274810,0
0.08569336,0.01782227,0.96533200,-2.82442700,-1.68702300,-0.25954200,0
0.07836914,0.01806641,0.96386720,-2.92366400,-1.57251900,-0.20610690,0
0.07739258,0.02441406,0.96801760,-2.94656500,-1.65648900,-0.22137410,0
0.08081055,0.02001953,0.95922850,-2.77862600,-1.67938900,-0.25190840,0
0.08032227,0.01977539,0.95971680,-2.91603100,-1.50381700,-0.39694660,0
0.08715820,0.01513672,0.96630860,-2.90076300,-1.77099200,-0.19083970,0
0.07739258,0.02246094,0.96142580,-2.76335900,-1.56488600,-0.32061070,0
0.08032227,0.02197266,0.95434570,-2.86259500,-1.58778600,-0.36641220,0
0.08105469,0.02172852,0.97094730,-2.64122100,-1.52671800,-0.31297710,0
0.07763672,0.01416016,0.96337890,-2.93129800,-1.70229000,-0.38931300,0
0.07934570,0.02270508,0.96411130,-2.88549600,-1.54198500,-0.30534350,0
0.08032227,0.02465820,0.96704100,-2.91603100,-1.45801500,-0.33587790,0
0.07446289,0.02172852,0.96557620,-2.89313000,-1.54961800,-0.35114500,0
0.07788086,0.02026367,0.96435550,-2.88549600,-1.67938900,-0.19083970,0
0.08740234,0.01660156,0.96972660,-2.80152700,-1.51145000,-0.34351150,0
0.08618164,0.01806641,0.96093750,-2.77862600,-1.62595400,-0.25190840,0
0.08374023,0.01879883,0.97216800,-2.77862600,-1.54198500,-0.16030530,0
0.07641602,0.01733398,0.96508790,-2.91603100,-1.61068700,-0.18320610,0
0.07763672,0.02001953,0.95532230,-3.01526700,-1.61068700,-0.38167940,0
0.07934570,0.02148438,0.95971680,-2.96183200,-1.61068700,-0.41984730,0
0.08618164,0.01831055,0.96704100,-2.86259500,-1.67938900,-0.38167940,0
0.08154297,0.02368164,0.95849610,-2.80152700,-1.55725200,-0.42748090,0
0.08886719,0.02246094,0.96289060,-2.64122100,-1.67938900,-0.32061070,0
0.08544922,0.01977539,0.95971680,-2.93129800,-1.43511400,-0.54198470,0
0.08569336,0.02075195,0.96069340,-2.90076300,-1.48855000,-0.09923664,0
0.08642578,0.01586914,0.96435550,-2.84732800,-1.43511400,-0.32824430,0
0.07910156,0.01904297,0.96264650,-2.88549600,-1.58778600,-0.23664120,0
0.07763672,0.01831055,0.95434570,-2.77862600,-1.37404600,-0.39694660,0
0.08374023,0.02124023,0.96875000,-2.97709900,-1.62595400,-0.27480910,0
0.08007813,0.02099609,0.96362300,-2.82442700,-1.63358800,-0.35114500,0
0.08618164,0.02465820,0.95336910,-2.96183200,-1.72519100,-0.30534350,0
0.08105469,0.02392578,0.96435550,-3.00000000,-1.44274800,-0.31297710,0
0.08666992,0.01708984,0.96313480,-2.66412200,-1.54198500,-0.29770990,0
0.07421875,0.01733398,0.96386720,-2.86259500,-1.52671800,-0.35114500,0
0.08300781,0.01806641,0.95703130,-2.83206100,-1.58778600,-0.32061070,0
0.07910156,0.02832031,0.96752930,-2.90076300,-1.48091600,-0.48091600,0
0.07739258,0.01928711,0.95654300,-2.98473300,-1.50381700,-0.19083970,0
0.08764648,0.01831055,0.96142580,-2.86259500,-1.46564900,-0.33587790,0
0.08325195,0.02490234,0.96337890,-2.78626000,-1.58778600,-0.21374040,0
0.08032227,0.00976562,0.95556640,-2.80916000,-1.40458000,-0.34351150,0
0.08862305,0.01440430,0.96215820,-2.83969500,-1.74045800,-0.22900760,0
0.08544922,0.02026367,0.96899410,-2.89313000,-1.74045800,-0.29007640,0
0.08154297,0.02221680,0.95483400,-2.85496200,-1.63358800,-0.17557250,0
0.07763672,0.01562500,0.96313480,-2.84732800,-1.32824400,-0.29007640,0
0.08764648,0.01757813,0.95800780,-2.80152700,-1.61068700,-0.40458020,0
0.07812500,0.02050781,0.96093750,-2.93129800,-1.46564900,-0.22137410,0
0.07934570,0.02319336,0.96411130,-2.93893100,-1.49618300,-0.41221380,0
0.08178711,0.02075195,0.96044920,-2.84732800,-1.59542000,-0.31297710,0
0.07714844,0.01977539,0.96093750,-2.88549600,-1.51145000,-0.22900760,0
0.08105469,0.01171875,0.94970700,-2.90076300,-1.56488600,-0.26717560,0
0.08081055,0.01660156,0.96289060,-2.77862600,-1.56488600,-0.16030530,0
0.08007813,0.01684570,0.96069340,-2.75572500,-1.51908400,-0.15267180,0
0.08666992,0.01928711,0.96289060,-3.06106900,-1.66412200,-0.30534350,0
0.08325195,0.02246094,0.96166990,-2.80152700,-1.64885500,-0.31297710,0
0.08764648,0.02416992,0.96582030,-2.80152700,-1.71755700,-0.28244280,0
0.07397461,0.02001953,0.96166990,-2.88549600,-1.50381700,-0.22900760,0
0.08422852,0.02026367,0.96118160,-2.73282400,-1.60305300,-0.22900760,0
0.07910156,0.01806641,0.96191410,-2.80916000,-1.59542000,-0.28244280,0
0.07470703,0.02636719,0.96118160,-2.90076300,-1.47328200,-0.23664120,0
0.07690430,0.02270508,0.95678710,-2.80916000,-1.65648900,-0.24427480,0
0.08740234,0.01684570,0.96264650,-2.83969500,-1.53435100,-0.21374040,0
0.08715820,0.02075195,0.96337890,-2.70992400,-1.69465600,-0.44274810,0
0.08227539,0.01806641,0.96362300,-2.82442700,-1.58778600,-0.29007640,0
0.08544922,0.02026367,0.95214840,-2.80916000,-1.45801500,-0.30534350,0
0.07104492,0.02124023,0.96728520,-2.80916000,-1.61832100,-0.24427480,0
0.08325195,0.01855469,0.95288090,-2.82442700,-1.64885500,-0.29007640,0
0.09204102,0.01464844,0.96362300,-2.77099200,-1.58778600,-0.29007640,0
0.07934570,0.02294922,0.95947270,-2.90076300,-1.58015300,-0.35877860,0
0.08520508,0.01953125,0.96435550,-2.76335900,-1.48855000,-0.40458020,0
0.08154297,0.02099609,0.96459960,-2.80152700,-1.58778600,-0.27480910,0
0.07543945,0.01904297,0.95825200,-2.87022900,-1.74809200,-0.43511450,0
0.07519531,0.01708984,0.96240230,-2.83969500,-1.41221400,-0.26717560,0
0.08398438,0.02026367,0.95117190,-2.90076300,-1.46564900,-0.25954200,0
0.07934570,0.01635742,0.96240230,-2.80152700,-1.74809200,-0.41984730,0
0.08520508,0.02001953,0.95629880,-2.85496200,-1.54198500,-0.36641220,0
